no,state,x,y
1,Andhra Pradesh,-43.0, -81.0
2,Arunachal Pradesh,145.0, 95.0
3,Assam,125.0, 66.0
4,Bihar,34.0, 56.0
5,Chhattisgarh,-15.0, 3.0
6,Goa,-106.0, -79.0
7,Gujarath,-140.0, 18.0
8,Haryana,-80.0, 105.0
9,Himachal Pradesh,-66.0, 148.0
10,Jharkhand,31.0, 28.0
11,Karnataka,-83.0, -83.0
12,Kerala,-77.0, -140.0
13,Madhya Pradesh,-55.0, 25.0
14,Maharashtra,-88.0, -19.0
15,Manipur,135.0, 45.0
16,Meghalaya,103.0, 54.0
17,Mizoram,123.0, 27.0
18,Nagaland,143.0, 64.0
19,Odisha,16.0, -11.0
20,Punjab,-90.0, 128.0
21,Rajasthan,-111.0, 70.0
22,Sikkim,69.0, 83.0
23,Tamil Nadu-49.0, -126.0
24,Telangana,-45.0, -41.0
25,Tripura,108.0, 31.0
26,Uttarakhand	,-42.0, 122.0
27,Uttar Pradesh,-28.0, 76.0
28,West Bengal,64.0,28.0
29,Ladakh,-56.0, 184.0
30,Jammu and Kashmir,-96.0, 181.0
31,Puducherry,-38.0, -132.0
32,Lakshadweep,-121.0, -143.0
33,Andaman and Nicobar Islands,120.0, -121.0
34,Dadra and Nagar Haveli,-118.0, -16.0
35,Chandigarh,-93.0, 140.0
36,Delhi,-68.0,96.0


























































